"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"27","Nick Chubb",CLE,"RB14","3 out of 5 stars","1 out of 5 stars","-7"
"28","Mike Evans",TB,"WR12","4 out of 5 stars","4 out of 5 stars","-2"
"29","Deebo Samuel",SF,"WR13","3 out of 5 stars","3 out of 5 stars","-13"
"30","James Conner",ARI,"RB15","2 out of 5 stars","4 out of 5 stars","-2"
"31","DJ Moore",CAR,"WR14","3 out of 5 stars","2 out of 5 stars","+11"
"32","Josh Allen",BUF,"QB1","0 out of 5 stars","0 out of 5 stars","-10"
"33","Courtland Sutton",DEN,"WR15","5 out of 5 stars","3 out of 5 stars","+23"
"34","AJ Dillon",GB,"RB16","3 out of 5 stars","2 out of 5 stars","+33"
"35","Michael Thomas",NO,"WR16","4 out of 5 stars","3 out of 5 stars","+40"
"36","Kyle Pitts",ATL,"TE3","3 out of 5 stars","2 out of 5 stars","-4"
"37","Tee Higgins",CIN,"WR17","3 out of 5 stars","1 out of 5 stars","-3"
"38","Kareem Hunt",CLE,"RB17","3 out of 5 stars","1 out of 5 stars","+46"
"39","Darren Waller",LV,"TE4","2 out of 5 stars","2 out of 5 stars","+5"
"40","Christian Kirk",JAC,"WR18","4 out of 5 stars","4 out of 5 stars","+60"
"41","Clyde Edwards-Helaire",KC,"RB18","3 out of 5 stars","3 out of 5 stars","+21"
"42","Gabriel Davis",BUF,"WR19","3 out of 5 stars","3 out of 5 stars","+24"
"43","Rashod Bateman",BAL,"WR20","2 out of 5 stars","3 out of 5 stars","+46"
"44","CeeDee Lamb",DAL,"WR21","3 out of 5 stars","4 out of 5 stars","-26"
"45","Terry McLaurin",WAS,"WR22","4 out of 5 stars","3 out of 5 stars","-5"
"46","Diontae Johnson",PIT,"WR23","4 out of 5 stars","5 out of 5 stars","-3"
"47","Cordarrelle Patterson",ATL,"RB19","2 out of 5 stars","1 out of 5 stars","+38"
"48","Keenan Allen",LAC,"WR24","3 out of 5 stars","3 out of 5 stars","-21"
"49","David Montgomery",CHI,"RB20","5 out of 5 stars","4 out of 5 stars","-13"
"50","James Robinson",JAC,"RB21","4 out of 5 stars","4 out of 5 stars","+62"
"51","Brandin Cooks",HOU,"WR25","4 out of 5 stars","4 out of 5 stars","+3"
"52","Josh Jacobs",LV,"RB22","2 out of 5 stars","2 out of 5 stars","-4"
"53","Travis Etienne Jr.",JAC,"RB23","4 out of 5 stars","4 out of 5 stars","-14"
